S.No,Topic,Original_Q_No,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Has_Image,Image_Path
1,Fundamentals of Nursing,1,"What is the normal range of adult body temperature in Celsius?","35.5-36.5°C","36.5-37.5°C","37.5-38.5°C","38.5-39.5°C","B","no",""
2,Anatomy & Physiology,2,"What is the largest organ in the human body?","Liver","Brain","Skin","Heart","C","no",""
3,Anatomy & Physiology,3,"How many chambers does the human heart have?","2","3","4","5","C","no",""
4,Fundamentals of Nursing,4,"Which of the following is the most common site for intramuscular injection in adults?","Deltoid muscle","Vastus lateralis","Dorsogluteal","Ventrogluteal","D","no",""
5,Anatomy & Physiology,5,"What is the normal resting heart rate for adults per minute?","40-60 bpm","60-100 bpm","100-120 bpm","120-140 bpm","B","no",""
6,Anatomy & Physiology,6,"Which organ is responsible for filtering blood and producing urine?","Liver","Pancreas","Kidney","Spleen","C","no",""
7,Microbiology,7,"What is the causative organism of tuberculosis?","Streptococcus","Mycobacterium tuberculosis","Staphylococcus aureus","E. coli","B","no",""
8,Microbiology,8,"Which of the following is NOT a method of sterilization?","Autoclaving","Boiling","Refrigeration","Dry heat","C","no",""
9,Community Health Nursing,9,"What does PHC stand for in healthcare?","Private Health Care","Primary Health Centre","Public Health Committee","Preventive Health Care","B","no",""
10,Community Health Nursing,10,"Which of the following is a communicable disease?","Diabetes","Hypertension","Tuberculosis","Arthritis","C","no",""
11,Fundamentals of Nursing,11,"What is the most appropriate position for a patient with dyspnea?","Supine position","Fowler's position","Prone position","Lithotomy position","B","no",""
12,First Aid,12,"What is the first step in managing a bleeding wound?","Apply antiseptic","Apply direct pressure","Apply tourniquet","Clean with water","B","no",""
13,First Aid,13,"What is the correct ratio of chest compressions to breaths in adult CPR?","15:2","30:2","5:1","20:2","B","no",""
14,Child Health Nursing,14,"At what age does a child typically start walking?","6 months","9 months","12 months","18 months","C","no",""
15,Child Health Nursing,15,"What is the most common route of administration for vaccines in infants?","Oral","Intramuscular","Subcutaneous","Intravenous","B","no",""
16,Mental Health Nursing,16,"Which of the following is a positive symptom of schizophrenia?","Flat affect","Social withdrawal","Hallucinations","Poor hygiene","C","no",""
17,Mental Health Nursing,17,"What is the therapeutic communication technique of repeating the patient's statement?","Clarification","Reflection","Focusing","Restating","D","no",""
18,Medical-Surgical Nursing,18,"What is the normal blood pressure range for adults (systolic/diastolic)?","90/60 - 120/80 mmHg","130/90 - 140/90 mmHg","150/100 - 160/100 mmHg","100/70 - 110/80 mmHg","A","no",""
19,Medical-Surgical Nursing,19,"Which position is best for a patient in shock?","Head elevated","Flat with legs elevated","Sitting upright","Left lateral","B","no",""
20,Obstetrics & Gynecology,20,"What is the normal duration of pregnancy?","36 weeks","38 weeks","40 weeks","42 weeks","C","no",""
21,Obstetrics & Gynecology,21,"What is the first stage of labor characterized by?","Delivery of baby","Delivery of placenta","Cervical dilation","Crowning","C","no",""
22,Nutrition,22,"Which vitamin is essential for blood clotting?","Vitamin A","Vitamin D","Vitamin K","Vitamin E","C","no",""
23,Nutrition,23,"What is the recommended daily water intake for adults?","1-2 liters","2-3 liters","4-5 liters","5-6 liters","B","no",""
24,Microbiology,24,"Which of the following is a viral disease?","Typhoid","Tuberculosis","Hepatitis B","Cholera","C","no",""
25,Community Health Nursing,25,"What does ASHA stand for in community health?","Accredited Social Health Activist","Association of Social Health Affairs","Advanced Social Health Agency","Approved Social Health Association","A","no",""
26,Fundamentals of Nursing,26,"What is the recommended angle for subcutaneous injection?","15 degrees","45 degrees","90 degrees","30 degrees","B","no",""
27,Anatomy & Physiology,27,"Which hormone regulates blood sugar levels?","Thyroxine","Insulin","Adrenaline","Growth hormone","B","no",""
28,First Aid,28,"What is the emergency treatment for a choking adult?","Give water","Heimlich maneuver","Pat on back gently","CPR immediately","B","no",""
29,Child Health Nursing,29,"What is the recommended age for starting complementary feeding?","4 months","6 months","8 months","12 months","B","no",""
30,Mental Health Nursing,30,"What is the primary goal of therapeutic communication?","Information gathering","Building trust","Giving advice","Making diagnosis","B","no",""
31,Medical-Surgical Nursing,31,"What is the most common complication of diabetes mellitus?","Hypoglycemia","Hyperglycemia","Diabetic ketoacidosis","Neuropathy","D","no",""
32,Obstetrics & Gynecology,32,"What is the ideal hemoglobin level during pregnancy?","8-10 g/dL","11-12 g/dL","13-14 g/dL","15-16 g/dL","B","no",""
33,Nutrition,33,"Which nutrient is the primary source of energy?","Proteins","Carbohydrates","Fats","Vitamins","B","no",""
34,Microbiology,34,"What is the incubation period of chickenpox?","5-7 days","10-21 days","1-3 days","30-40 days","B","no",""
35,Community Health Nursing,35,"What is the full form of ICDS?","Integrated Child Development Services","Indian Child Development Scheme","International Child Development System","Infant Care and Development Services","A","no",""
36,Fundamentals of Nursing,36,"What is the normal respiratory rate for adults per minute?","8-12","12-20","20-30","30-40","B","no",""
37,Anatomy & Physiology,37,"Which gland is known as the master gland?","Thyroid","Pituitary","Adrenal","Pancreas","B","no",""
38,First Aid,38,"What is the primary treatment for burns?","Apply ice","Apply butter","Cool with water","Cover with cloth","C","no",""
39,Child Health Nursing,39,"What is BCG vaccine given for?","Tuberculosis","Polio","Measles","Hepatitis B","A","no",""
